t,nearest,robustness,satisfied
0.0,15.297,10.297,1
0.1,15.297,10.297,1
0.2,15.297,10.297,1
0.3,15.297,10.297,1
0.4,15.297,10.297,1
0.5,15.297,10.297,1
0.6,15.297,10.297,1
0.7,15.297,10.297,1
0.8,15.297,10.297,1
0.9,15.297,10.297,1
1.0,15.297,10.297,1
1.1,15.297,10.297,1
1.2,15.297,10.297,1
1.3,15.297,10.297,1
1.4,15.297,10.297,1
1.5,15.297,10.297,1
1.6,15.297,10.297,1
1.7,15.297,10.297,1
1.8,15.297,10.297,1
1.9,15.297,10.297,1
2.0,15.297,10.297,1
2.1,15.297,10.297,1
2.2,15.297,10.297,1
2.3,15.297,10.297,1
2.4,15.297,10.297,1
2.5,15.297,10.297,1
2.6,15.297,10.297,1
2.7,15.297,10.297,1
2.8,15.297,10.297,1
2.9,15.297,10.297,1
3.0,15.297,10.297,1
3.1,15.297,10.297,1
3.2,15.297,10.297,1
3.3,15.297,10.297,1
3.4,15.297,10.297,1
3.5,15.297,10.297,1
3.6,15.297,10.297,1
3.7,15.297,10.297,1
3.8,15.297,10.297,1
3.9,15.297,10.297,1
4.0,15.297,10.297,1
4.1,15.297,10.297,1
4.2,15.297,10.297,1
4.3,15.297,10.297,1
4.4,15.297,10.297,1
4.5,15.000,10.000,1
4.6,14.000,9.000,1
4.7,13.000,8.000,1
4.8,12.000,7.000,1
4.9,11.000,6.000,1
5.0,10.000,5.000,1
5.1,9.000,4.000,1
5.2,8.000,3.000,1
5.3,7.000,2.000,1
5.4,6.000,1.000,1
5.5,5.000,0.000,1
5.6,4.000,-1.000,0
5.7,3.000,-2.000,0
5.8,2.000,-3.000,0
5.9,2.000,-3.000,0
6.0,2.000,-3.000,0
6.1,2.000,-3.000,0
6.2,2.000,-3.000,0
6.3,2.000,-3.000,0
6.4,2.000,-3.000,0
6.5,2.000,-3.000,0
6.6,2.000,-3.000,0
6.7,2.000,-3.000,0
6.8,2.000,-3.000,0
6.9,2.000,-3.000,0
7.0,2.000,-3.000,0
