t,formula,satisfied,kind,value,ci_lower,ci_upper
0.00,1,0,robustness,-inf,,
0.00,2,0,probability,0.0000,0.0000,1.0000
0.10,1,0,robustness,-inf,,
0.10,2,0,probability,0.0000,0.0000,1.0000
0.20,1,0,robustness,-inf,,
0.20,2,0,probability,0.0000,0.0000,1.0000
0.30,1,0,robustness,-inf,,
0.30,2,0,probability,0.0000,0.0000,1.0000
0.40,1,0,robustness,-inf,,
0.40,2,0,probability,0.0000,0.0000,1.0000
0.50,1,0,robustness,-inf,,
0.50,2,0,probability,0.0000,0.0000,1.0000
0.60,1,0,robustness,-inf,,
0.60,2,0,probability,0.0000,0.0000,1.0000
0.70,1,0,robustness,-inf,,
0.70,2,0,probability,0.0000,0.0000,1.0000
0.80,1,0,robustness,-inf,,
0.80,2,0,probability,0.0000,0.0000,1.0000
0.90,1,0,robustness,-inf,,
0.90,2,0,probability,0.0000,0.0000,1.0000
1.00,1,0,robustness,-inf,,
1.00,2,0,probability,0.0000,0.0000,1.0000
1.10,1,0,robustness,-inf,,
1.10,2,0,probability,0.0000,0.0000,1.0000
1.20,1,0,robustness,-inf,,
1.20,2,0,probability,0.0000,0.0000,1.0000
1.30,1,0,robustness,-inf,,
1.30,2,0,probability,0.0000,0.0000,1.0000
1.40,1,0,robustness,-inf,,
1.40,2,0,probability,0.0000,0.0000,1.0000
1.50,1,0,robustness,-inf,,
1.50,2,0,probability,0.0000,0.0000,1.0000
1.60,1,0,robustness,-inf,,
1.60,2,0,probability,0.0000,0.0000,1.0000
1.70,1,0,robustness,-inf,,
1.70,2,0,probability,0.0000,0.0000,1.0000
1.80,1,0,robustness,-inf,,
1.80,2,0,probability,0.0000,0.0000,1.0000
1.90,1,0,robustness,-inf,,
1.90,2,0,probability,0.0000,0.0000,1.0000
2.00,1,0,robustness,-inf,,
2.00,2,1,probability,1.0000,0.9934,1.0000
2.10,1,0,robustness,-inf,,
2.10,2,1,probability,1.0000,0.9934,1.0000
2.20,1,0,robustness,-inf,,
2.20,2,1,probability,1.0000,0.9934,1.0000
2.30,1,0,robustness,-inf,,
2.30,2,1,probability,1.0000,0.9934,1.0000
2.40,1,0,robustness,-inf,,
2.40,2,1,probability,1.0000,0.9934,1.0000
2.50,1,0,robustness,-inf,,
2.50,2,1,probability,1.0000,0.9934,1.0000
2.60,1,0,robustness,-inf,,
2.60,2,1,probability,1.0000,0.9934,1.0000
2.70,1,0,robustness,-inf,,
2.70,2,1,probability,1.0000,0.9934,1.0000
2.80,1,0,robustness,-inf,,
2.80,2,1,probability,1.0000,0.9934,1.0000
2.90,1,0,robustness,-inf,,
2.90,2,1,probability,1.0000,0.9934,1.0000
3.00,1,0,robustness,-inf,,
3.00,2,1,probability,1.0000,0.9934,1.0000
3.10,1,0,robustness,-inf,,
3.10,2,1,probability,1.0000,0.9934,1.0000
3.20,1,0,robustness,-inf,,
3.20,2,1,probability,1.0000,0.9934,1.0000
3.30,1,0,robustness,-inf,,
3.30,2,1,probability,1.0000,0.9934,1.0000
3.40,1,0,robustness,-inf,,
3.40,2,1,probability,1.0000,0.9934,1.0000
3.50,1,0,robustness,-inf,,
3.50,2,1,probability,1.0000,0.9934,1.0000
3.60,1,0,robustness,-inf,,
3.60,2,1,probability,1.0000,0.9934,1.0000
3.70,1,0,robustness,-inf,,
3.70,2,1,probability,1.0000,0.9934,1.0000
3.80,1,0,robustness,-inf,,
3.80,2,1,probability,1.0000,0.9934,1.0000
3.90,1,0,robustness,-inf,,
3.90,2,1,probability,1.0000,0.9934,1.0000
4.00,1,0,robustness,-inf,,
4.00,2,1,probability,1.0000,0.9934,1.0000
4.10,1,0,robustness,-inf,,
4.10,2,1,probability,1.0000,0.9934,1.0000
4.20,1,0,robustness,-inf,,
4.20,2,1,probability,0.9980,0.9898,0.9996
4.30,1,0,robustness,-inf,,
4.30,2,0,probability,0.9830,0.9688,0.9908
4.40,1,0,robustness,-inf,,
4.40,2,0,probability,0.9370,0.9142,0.9541
4.50,1,0,robustness,-inf,,
4.50,2,0,probability,0.7820,0.7466,0.8137
4.60,1,0,robustness,-inf,,
4.60,2,0,probability,0.4970,0.4564,0.5376
4.70,1,0,robustness,-inf,,
4.70,2,0,probability,0.2110,0.1797,0.2461
4.80,1,0,robustness,-inf,,
4.80,2,0,probability,0.0400,0.0268,0.0592
4.90,1,0,robustness,-inf,,
4.90,2,0,probability,0.0010,0.0001,0.0085
5.00,1,1,robustness,5.0000,,
5.00,2,0,probability,0.0000,0.0000,0.0066
5.10,1,1,robustness,5.0000,,
5.10,2,0,probability,0.0000,0.0000,0.0066
5.20,1,1,robustness,5.0000,,
5.20,2,0,probability,0.0000,0.0000,0.0066
5.30,1,1,robustness,5.0000,,
5.30,2,0,probability,0.0000,0.0000,0.0066
5.40,1,1,robustness,5.0000,,
5.40,2,0,probability,0.0000,0.0000,0.0066
5.50,1,1,robustness,5.0000,,
5.50,2,0,probability,0.0000,0.0000,0.0066
5.60,1,1,robustness,5.0000,,
5.60,2,0,probability,0.0000,0.0000,0.0066
5.70,1,1,robustness,5.0000,,
5.70,2,0,probability,0.0000,0.0000,0.0066
5.80,1,1,robustness,5.0000,,
5.80,2,0,probability,0.0000,0.0000,0.0066
5.90,1,1,robustness,5.0000,,
5.90,2,0,probability,0.0000,0.0000,0.0066
6.00,1,1,robustness,5.0000,,
6.00,2,0,probability,0.0000,0.0000,0.0066
6.10,1,1,robustness,5.0000,,
6.10,2,0,probability,0.0000,0.0000,0.0066
6.20,1,1,robustness,5.0000,,
6.20,2,0,probability,0.0000,0.0000,0.0066
6.30,1,1,robustness,5.0000,,
6.30,2,0,probability,0.0000,0.0000,0.0066
6.40,1,1,robustness,5.0000,,
6.40,2,0,probability,0.0000,0.0000,0.0066
6.50,1,1,robustness,5.0000,,
6.50,2,0,probability,0.0000,0.0000,0.0066
6.60,1,1,robustness,5.0000,,
6.60,2,0,probability,0.0000,0.0000,0.0066
6.70,1,1,robustness,5.0000,,
6.70,2,0,probability,0.0000,0.0000,0.0066
6.80,1,1,robustness,5.0000,,
6.80,2,0,probability,0.0000,0.0000,0.0066
6.90,1,1,robustness,5.0000,,
6.90,2,0,probability,0.0000,0.0000,0.0066
7.00,1,1,robustness,5.0000,,
7.00,2,0,probability,0.0000,0.0000,0.0066
