t,robustness,satisfied
0.0,25.000,1
0.1,24.500,1
0.2,24.000,1
0.3,23.500,1
0.4,23.000,1
0.5,22.500,1
0.6,22.000,1
0.7,21.500,1
0.8,21.000,1
0.9,20.500,1
1.0,20.000,1
1.1,19.500,1
1.2,19.000,1
1.3,18.500,1
1.4,18.000,1
1.5,17.500,1
1.6,17.000,1
1.7,16.500,1
1.8,16.000,1
1.9,15.500,1
2.0,15.000,1
2.1,14.500,1
2.2,14.000,1
2.3,13.500,1
2.4,13.000,1
2.5,12.500,1
2.6,12.000,1
2.7,11.500,1
2.8,11.000,1
2.9,10.500,1
3.0,10.000,1
3.1,9.500,1
3.2,9.000,1
3.3,8.500,1
3.4,8.000,1
3.5,7.500,1
3.6,7.000,1
3.7,6.500,1
3.8,6.000,1
3.9,5.500,1
4.0,5.000,1
4.1,4.500,1
4.2,4.000,1
4.3,3.500,1
4.4,3.000,1
4.5,2.500,1
4.6,2.000,1
4.7,1.500,1
4.8,1.000,1
4.9,0.500,1
5.0,0.000,1
5.1,-0.500,0
5.2,-1.000,0
5.3,-1.500,0
5.4,-2.000,0
5.5,-2.500,0
5.6,-3.000,0
5.7,-3.500,0
5.8,-4.000,0
5.9,-4.000,0
6.0,-4.000,0
6.1,-4.000,0
6.2,-4.000,0
6.3,-4.000,0
6.4,-4.000,0
6.5,-4.000,0
6.6,-4.000,0
6.7,-4.000,0
6.8,-4.000,0
6.9,-4.000,0
7.0,-4.000,0
7.1,-4.000,0
7.2,-4.000,0
7.3,-4.000,0
7.4,-4.000,0
7.5,-4.000,0
7.6,-4.000,0
7.7,-4.000,0
7.8,-4.000,0
7.9,-4.000,0
8.0,-4.000,0
8.1,-4.000,0
8.2,-4.000,0
8.3,-4.000,0
8.4,-4.000,0
8.5,-4.000,0
8.6,-4.000,0
8.7,-4.000,0
8.8,-4.000,0
8.9,-4.000,0
9.0,-4.000,0
9.1,-4.000,0
9.2,-4.000,0
9.3,-4.000,0
9.4,-4.000,0
9.5,-4.000,0
9.6,-4.000,0
9.7,-4.000,0
9.8,-4.000,0
9.9,-4.000,0
10.0,-4.000,0
10.1,-4.000,0
10.2,-4.000,0
10.3,-4.000,0
10.4,-4.000,0
10.5,-4.000,0
10.6,-4.000,0
10.7,-4.000,0
10.8,-4.000,0
10.9,-4.000,0
11.0,-4.000,0
11.1,-4.000,0
11.2,-4.000,0
11.3,-4.000,0
11.4,-4.000,0
11.5,-4.000,0
11.6,-4.000,0
11.7,-4.000,0
11.8,-4.000,0
11.9,-4.000,0
12.0,-4.000,0
12.1,-4.000,0
12.2,-4.000,0
12.3,-4.000,0
12.4,-4.000,0
12.5,-4.000,0
12.6,-4.000,0
12.7,-4.000,0
12.8,-4.000,0
12.9,-4.000,0
13.0,-4.000,0
13.1,-4.000,0
13.2,-4.000,0
13.3,-4.000,0
13.4,-4.000,0
13.5,-4.000,0
13.6,-4.000,0
13.7,-4.000,0
13.8,-4.000,0
13.9,-4.000,0
14.0,-4.000,0
14.1,-4.000,0
14.2,-4.000,0
14.3,-4.000,0
14.4,-4.000,0
14.5,-4.000,0
14.6,-4.000,0
14.7,-4.000,0
14.8,-4.000,0
14.9,-4.000,0
15.0,-4.000,0
15.1,-4.000,0
15.2,-4.000,0
15.3,-4.000,0
15.4,-4.000,0
15.5,-4.000,0
15.6,-4.000,0
15.7,-4.000,0
15.8,-4.000,0
15.9,-4.000,0
16.0,-4.000,0
16.1,-4.000,0
16.2,-4.000,0
16.3,-4.000,0
16.4,-4.000,0
16.5,-4.000,0
16.6,-4.000,0
16.7,-4.000,0
16.8,-4.000,0
16.9,-4.000,0
17.0,-4.000,0
17.1,-4.000,0
17.2,-4.000,0
17.3,-4.000,0
17.4,-4.000,0
17.5,-4.000,0
17.6,-4.000,0
17.7,-4.000,0
17.8,-4.000,0
17.9,-4.000,0
18.0,-4.000,0
18.1,-4.000,0
18.2,-4.000,0
18.3,-4.000,0
18.4,-4.000,0
18.5,-4.000,0
18.6,-4.000,0
18.7,-4.000,0
18.8,-4.000,0
18.9,-4.000,0
19.0,-4.000,0
19.1,-4.000,0
19.2,-4.000,0
19.3,-4.000,0
19.4,-4.000,0
19.5,-4.000,0
19.6,-4.000,0
19.7,-4.000,0
19.8,-4.000,0
19.9,-4.000,0
20.0,-4.000,0
20.1,-4.000,0
20.2,-4.000,0
20.3,-4.000,0
20.4,-4.000,0
20.5,-4.000,0
20.6,-4.000,0
20.7,-4.000,0
20.8,-4.000,0
20.9,-4.000,0
21.0,-4.000,0
21.1,-4.000,0
21.2,-4.000,0
21.3,-4.000,0
21.4,-4.000,0
21.5,-4.000,0
21.6,-4.000,0
21.7,-4.000,0
21.8,-4.000,0
21.9,-4.000,0
22.0,-4.000,0
22.1,-4.000,0
22.2,-4.000,0
22.3,-4.000,0
22.4,-4.000,0
22.5,-4.000,0
22.6,-4.000,0
22.7,-4.000,0
22.8,-4.000,0
22.9,-4.000,0
23.0,-4.000,0
23.1,-4.000,0
23.2,-4.000,0
23.3,-4.000,0
23.4,-4.000,0
23.5,-4.000,0
23.6,-4.000,0
23.7,-4.000,0
23.8,-4.000,0
23.9,-4.000,0
24.0,-4.000,0
24.1,-4.000,0
24.2,-4.000,0
24.3,-4.000,0
24.4,-4.000,0
24.5,-4.000,0
24.6,-4.000,0
24.7,-4.000,0
24.8,-4.000,0
24.9,-4.000,0
25.0,-4.000,0
25.1,-4.000,0
25.2,-4.000,0
25.3,-4.000,0
25.4,-4.000,0
25.5,-4.000,0
25.6,-4.000,0
25.7,-4.000,0
25.8,-4.000,0
25.9,-4.000,0
26.0,-4.000,0
26.1,-4.000,0
26.2,-4.000,0
26.3,-4.000,0
26.4,-4.000,0
26.5,-4.000,0
26.6,-4.000,0
26.7,-4.000,0
26.8,-4.000,0
26.9,-4.000,0
27.0,-4.000,0
27.1,-4.000,0
27.2,-4.000,0
27.3,-4.000,0
27.4,-4.000,0
27.5,-4.000,0
27.6,-4.000,0
27.7,-4.000,0
27.8,-4.000,0
27.9,-4.000,0
28.0,-4.000,0
