time,mean,trace_0,trace_1,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33,trace_34,trace_35,trace_36,trace_37,trace_38,trace_39,trace_40,trace_41,trace_42,trace_43,trace_44,trace_45,trace_46,trace_47,trace_48,trace_49,trace_50,trace_51,trace_52,trace_53,trace_54,trace_55,trace_56,trace_57,trace_58,trace_59,trace_60,trace_61,trace_62,trace_63,trace_64,trace_65,trace_66,trace_67,trace_68,trace_69,trace_70,trace_71,trace_72,trace_73,trace_74,trace_75,trace_76,trace_77,trace_78,trace_79,trace_80,trace_81,trace_82,trace_83,trace_84,trace_85,trace_86,trace_87,trace_88,trace_89,trace_90,trace_91,trace_92,trace_93,trace_94,trace_95,trace_96,trace_97,trace_98,trace_99
0.0000,602.0000,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602
1.0000,823.8400,821,856,837,821,824,828,853,843,801,757,834,834,835,846,809,796,823,765,812,844,775,811,797,790,836,823,798,831,797,807,859,867,908,772,803,811,781,806,805,856,833,788,880,805,815,842,793,775,789,907,813,808,783,819,839,798,824,862,855,779,849,834,845,858,780,838,864,803,827,869,744,836,831,851,828,833,840,808,794,854,804,805,874,840,824,851,894,796,849,823,845,826,836,831,794,843,852,819,797,816
2.0000,1263.6000,1224,1314,1214,1289,1256,1238,1285,1253,1149,1195,1289,1273,1321,1213,1181,1210,1281,1224,1235,1265,1174,1202,1348,1191,1282,1257,1230,1276,1216,1193,1265,1316,1354,1285,1234,1214,1279,1263,1209,1325,1290,1248,1421,1256,1224,1347,1201,1262,1275,1366,1223,1168,1246,1262,1297,1165,1247,1308,1301,1198,1286,1280,1237,1281,1249,1280,1279,1279,1270,1355,1156,1312,1267,1225,1266,1315,1302,1263,1208,1347,1276,1242,1286,1236,1302,1345,1251,1304,1309,1328,1318,1307,1197,1298,1283,1304,1281,1237,1203,1269
3.0000,1824.3400,1781,1900,1733,1938,1764,1789,1831,1806,1760,1726,1876,1850,1955,1704,1714,1764,1905,1692,1736,1873,1712,1801,1876,1763,1835,1784,1853,1796,1809,1773,1806,1836,1964,1870,1757,1670,1836,1875,1802,1882,1951,1861,1957,1833,1629,1967,1768,1814,1827,1833,1725,1670,1740,1761,1817,1667,1715,1896,1891,1814,1842,1762,1863,1841,1775,1936,1803,1852,1772,1930,1725,1952,1842,1812,1774,1891,1853,1854,1795,2006,1794,1850,1852,1833,1871,1848,1777,1874,1925,1843,1871,2014,1672,1884,1947,1875,1888,1809,1735,1859
4.0000,2428.7300,2417,2532,2259,2632,2226,2327,2388,2449,2326,2333,2619,2415,2630,2376,2235,2362,2500,2239,2297,2442,2228,2364,2424,2310,2419,2433,2427,2407,2393,2338,2445,2436,2662,2470,2365,2198,2458,2456,2345,2569,2689,2453,2567,2456,2146,2648,2400,2423,2518,2437,2257,2351,2313,2280,2344,2265,2353,2532,2485,2390,2481,2266,2483,2419,2403,2615,2489,2511,2416,2541,2295,2615,2425,2496,2361,2468,2485,2449,2357,2657,2385,2558,2412,2402,2459,2445,2503,2510,2610,2406,2498,2697,2218,2464,2497,2517,2461,2359,2256,2526
5.0000,3037.8500,3009,3112,2810,3423,2758,2871,3054,3114,2863,2978,3326,3021,3286,3019,2834,3021,3061,2879,2835,3040,2889,2942,2973,2887,2949,3105,2920,2989,2963,2966,3037,2974,3323,3118,2956,2795,3057,3097,2847,3336,3326,3116,3219,3042,2722,3293,3058,3040,3141,3035,2872,2839,2850,2893,3014,2874,2946,3177,3126,3014,3150,2790,3017,3049,2997,3239,3184,3155,3068,3125,2890,3271,3125,3112,3037,3062,3055,3037,2860,3347,3036,3216,2989,2907,3005,3122,3138,3136,3222,2963,3041,3316,2801,3012,3071,3157,3101,2940,2880,3128
6.0000,3680.5200,3691,3656,3399,4163,3382,3506,3735,3737,3484,3606,4045,3622,3969,3715,3453,3670,3565,3474,3549,3743,3568,3624,3640,3458,3549,3743,3624,3730,3580,3676,3717,3630,3977,3785,3605,3369,3644,3755,3404,4059,3917,3738,3854,3718,3457,3938,3781,3761,3802,3616,3424,3481,3408,3562,3585,3462,3661,3811,3781,3626,3752,3292,3648,3712,3642,3903,3786,3921,3637,3773,3564,3918,3801,3693,3699,3686,3733,3569,3474,4037,3559,3854,3671,3488,3740,3786,3752,3697,3961,3581,3661,3973,3457,3640,3679,3842,3830,3679,3496,3782
7.0000,4370.7000,4362,4359,3992,4935,4106,4197,4415,4460,4123,4455,4683,4311,4756,4404,4028,4385,4296,4095,4178,4501,4148,4283,4301,4159,4138,4562,4330,4427,4241,4357,4382,4336,4716,4345,4216,4085,4356,4534,4127,4837,4584,4314,4644,4350,4145,4691,4462,4572,4565,4303,4042,4194,4016,4217,4227,4046,4387,4455,4510,4372,4511,4028,4352,4404,4460,4645,4508,4619,4244,4476,4342,4671,4549,4275,4320,4383,4378,4210,4135,4698,4291,4590,4413,4052,4435,4502,4399,4351,4674,4154,4365,4668,4141,4230,4450,4580,4591,4304,4156,4499
8.0000,5072.4600,5103,5026,4765,5662,4839,4834,5180,5110,4872,5242,5386,5027,5382,5076,4750,5169,4974,4741,4872,5340,4788,4890,4995,4902,4803,5462,5046,5053,4856,5005,5121,5091,5452,5099,4847,4824,4957,5178,4890,5556,5187,5121,5359,4950,4843,5277,5198,5300,5286,4996,4701,4901,4721,4794,4822,4707,5092,5069,5276,4906,5299,4612,5201,5132,5151,5259,5256,5351,4949,5150,5151,5435,5245,4977,4938,5081,5029,5006,4914,5255,5021,5283,5163,4817,5133,5222,5091,5097,5426,4855,5022,5431,4859,4932,5176,5321,5332,4979,4820,5204
9.0000,5686.8000,5685,5673,5468,6162,5594,5432,5788,5525,5599,6030,5974,5634,5908,5695,5489,5796,5517,5407,5503,6092,5346,5459,5706,5639,5323,6022,5785,5744,5412,5536,5741,5728,6057,5639,5429,5443,5562,5708,5515,6124,5776,5791,5856,5498,5569,5794,5743,6105,5942,5609,5248,5580,5427,5327,5456,5288,5732,5787,5949,5390,6022,5205,5833,5778,5763,5829,5788,5864,5483,5683,5866,6014,5912,5558,5566,5701,5693,5645,5547,5663,5573,5954,5809,5471,5708,5862,5583,5702,6118,5485,5521,6057,5475,5464,5765,5971,6085,5595,5521,5792
